Learner g,Learner m,level,Coverage,CI Length,Bias,Coverage (Lower),Coverage (Upper),RV,RVa,Bias (Lower),Bias (Upper),CI Bound Length,repetition
LGBM,LGBM,0.9,0.0,0.1292540820255691,0.1677439500916218,0.94,1.0,0.11573872417116222,0.08252331475485856,0.024288344996646342,0.3122738965658806,0.3898116700153508,100
LGBM,LGBM,0.95,0.0,0.1540157382237242,0.1677439500916218,0.99,1.0,0.11573872417116222,0.07287226227791722,0.024288344996646342,0.3122738965658806,0.418373398846942,100
LGBM,Logistic Regr.,0.9,0.0,0.12798017567553704,0.15251467338033609,1.0,1.0,0.10652571495226121,0.07301481703198542,0.014645752061926958,0.29602520197592563,0.3867596062890008,100
LGBM,Logistic Regr.,0.95,0.0,0.15249778518229332,0.15251467338033609,1.0,1.0,0.10652571495226121,0.06328412036942282,0.014645752061926958,0.29602520197592563,0.41503409907039024,100
Linear Reg.,LGBM,0.9,0.0,0.13050148401216977,0.16740934350762515,0.97,1.0,0.11403669658454366,0.08093114285791209,0.022292080500950134,0.3139559124208978,0.3948171482587492,100
Linear Reg.,LGBM,0.95,0.0,0.15550210936819642,0.16740934350762515,1.0,1.0,0.11403669658454366,0.07130818482813787,0.022292080500950134,0.3139559124208978,0.42365449174003855,100
Linear Reg.,Logistic Regr.,0.9,0.08,0.1293446408364081,0.08762861257786415,1.0,1.0,0.06182185548164626,0.026723981525642357,0.057907195061308585,0.2331644202170369,0.39187310331025016,100
Linear Reg.,Logistic Regr.,0.95,0.26,0.15412364570243178,0.08762861257786415,1.0,1.0,0.06182185548164626,0.016854287151815115,0.057907195061308585,0.2331644202170369,0.420448924509695,100
