Learner g,Learner m,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM,LGBM,0.9,0.8885,37.87536523730769,9.787707441089529,0.898,44.828925781533165,1000
LGBM,LGBM,0.95,0.9485,45.13128131893863,9.787707441089529,0.965,51.42387403222799,1000
LGBM,Logistic,0.9,0.9275,5.725128733165455,1.267568231095916,0.927,6.774304315459575,1000
LGBM,Logistic,0.95,0.9625,6.821911652197591,1.267568231095916,0.962,7.7654094416927215,1000
Linear,LGBM,0.9,0.958,7.430953406859927,1.5065164682583199,0.975,8.798628447594016,1000
Linear,LGBM,0.95,0.989,8.85452711998085,1.5065164682583199,0.992,10.090116294778499,1000
Linear,Logistic,0.9,0.873,1.1425883251377777,0.29572275431639516,0.872,1.3505222299078565,1000
Linear,Logistic,0.95,0.936,1.3614779635902856,0.29572275431639516,0.919,1.5496710496635275,1000
