Learner g,Learner m,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM Regr.,LGBM Clas.,0.9,0.9116666666666666,25.380884756214634,6.3033576983720385,0.931,32.56526868720959,1000
LGBM Regr.,LGBM Clas.,0.95,0.9633333333333334,30.243189547594916,6.3033576983720385,0.971,36.806047640863575,1000
LGBM Regr.,Logistic,0.9,0.9153333333333333,6.6236336046586155,1.5450159773054415,0.923,8.149672568213141,1000
LGBM Regr.,Logistic,0.95,0.9576666666666667,7.892546241929591,1.5450159773054415,0.959,9.334305451163466,1000
Linear,LGBM Clas.,0.9,0.9206666666666666,7.481260581637696,1.6455175148624328,0.932,9.256732930958306,1000
Linear,LGBM Clas.,0.95,0.9673333333333334,8.914471816039386,1.6455175148624328,0.965,10.567345838624604,1000
Linear,Logistic,0.9,0.8983333333333333,5.379448642069803,1.3088594234228312,0.9,5.8038157310767735,1000
Linear,Logistic,0.95,0.9453333333333334,6.41000841800179,1.3088594234228312,0.947,6.826689793179672,1000
