Learner g,Learner m,level,Coverage,CI Length,Bias,repetition
Lasso,Logistic Regression,0.9,0.888,0.5331759172799809,0.1346025659304845,1000
Lasso,Logistic Regression,0.95,0.942,0.6353182910443254,0.1346025659304845,1000
Lasso,Random Forest,0.9,0.892,0.736544703634449,0.18600544721077814,1000
Lasso,Random Forest,0.95,0.948,0.8776471465140515,0.18600544721077814,1000
Random Forest,Logistic Regression,0.9,0.87,0.549683356573939,0.14976166337094526,1000
Random Forest,Logistic Regression,0.95,0.914,0.6549881181724104,0.14976166337094526,1000
Random Forest,Random Forest,0.9,0.902,0.7467330863654522,0.18215062754687864,1000
Random Forest,Random Forest,0.95,0.947,0.889787353330196,0.18215062754687864,1000
