Learner g,Learner m,level,Tuned,Coverage,CI Length,Bias,repetition
LGBM Regr.,LGBM Clas.,0.9,False,0.952,1.8938962143131024,0.38916017267237296,500
LGBM Regr.,LGBM Clas.,0.9,True,0.82,0.31269268855505145,0.09112340834220442,500
LGBM Regr.,LGBM Clas.,0.95,False,0.988,2.256716530692214,0.38916017267237296,500
LGBM Regr.,LGBM Clas.,0.95,True,0.9,0.3725963196693502,0.09112340834220442,500
