Learner g,Learner m,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM Clas.,LGBM Clas.,0.9,0.8735714285714287,0.6116337215076973,0.1558680043819949,0.87,0.8751495566106742,200
LGBM Clas.,LGBM Clas.,0.95,0.9364285714285714,0.7288065310146017,0.1558680043819949,0.935,0.9742335603492159,200
LGBM Clas.,Logistic,0.9,0.8657142857142857,0.4526161311109992,0.12306500536219656,0.84,0.649451495457938,200
LGBM Clas.,Logistic,0.95,0.9228571428571429,0.5393253851064949,0.12306500536219656,0.895,0.7232469343557514,200
Logistic,LGBM Clas.,0.9,0.9128571428571429,0.6095967182261998,0.14021240836441295,0.91,0.8594719336371053,200
Logistic,LGBM Clas.,0.95,0.9607142857142857,0.7263792918957479,0.14021240836441295,0.955,0.9608239489842615,200
Logistic,Logistic,0.9,0.8914285714285713,0.45472908142368906,0.11565410839324233,0.85,0.6443440528558397,200
Logistic,Logistic,0.95,0.9364285714285714,0.5418431206947187,0.11565410839324233,0.935,0.7181545386323929,200
