Learner g,Learner m,level,Coverage,CI Length,Bias,Coverage (Lower),Coverage (Upper),RV,RVa,Bias (Lower),Bias (Upper),CI Bound Length,repetition
LGBM,LGBM,0.9,0.08,0.2670216845863586,0.17940963620485714,0.96,1.0,0.1241372280116238,0.05432610289837227,0.041818765832749474,0.32254502881613434,0.4945097406195433,100
LGBM,LGBM,0.95,0.35,0.3181759618638197,0.17940963620485714,1.0,1.0,0.1241372280116238,0.03439763897795268,0.041818765832749474,0.32254502881613434,0.5535425909510789,100
LGBM,Logistic Regr.,0.9,0.3,0.2581285280201102,0.1489250720013938,1.0,1.0,0.10039281695402444,0.034610324016033665,0.027819425637511053,0.29775753820387224,0.4988408323876356,100
LGBM,Logistic Regr.,0.95,0.56,0.3075791122152416,0.1489250720013938,1.0,1.0,0.10039281695402444,0.017870308168433494,0.027819425637511053,0.29775753820387224,0.5558714046518355,100
Linear Reg.,LGBM,0.9,0.09,0.2680454420037482,0.1789353408854105,0.97,1.0,0.12697023327157428,0.055500063642588984,0.04546847329030372,0.31838417542283604,0.4879323625959303,100
Linear Reg.,LGBM,0.95,0.29,0.3193958440673857,0.1789353408854105,0.99,1.0,0.12697023327157428,0.03516077097784765,0.04546847329030372,0.31838417542283604,0.5471907936286992,100
Linear Reg.,Logistic Regr.,0.9,0.88,0.2593925192155475,0.09058684260970791,1.0,1.0,0.0636454347862647,0.00654738335028408,0.05695175811582821,0.2354964421984655,0.4929868678265177,100
Linear Reg.,Logistic Regr.,0.95,0.97,0.3090852506212617,0.09058684260970791,1.0,1.0,0.0636454347862647,0.0014769375799795156,0.05695175811582821,0.2354964421984655,0.5502941581407065,100
