Learner g,Learner m,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM,LGBM,0.9,0.8815384615384616,0.6176207568284253,0.15515498246785267,0.85,0.9336715877443045,100
LGBM,LGBM,0.95,0.94,0.7359405236146267,0.15515498246785267,0.91,1.0306538899948843,100
LGBM,Logistic Regression,0.9,0.826923076923077,0.4257337159670842,0.122640423715187,0.78,0.6459408206266708,100
LGBM,Logistic Regression,0.95,0.9092307692307692,0.5072930117474264,0.122640423715187,0.84,0.7141895123082023,100
Logistic Regression,LGBM,0.9,0.8969230769230769,0.6286198118927271,0.15916890224887578,0.87,0.9308233463178209,100
Logistic Regression,LGBM,0.95,0.946923076923077,0.7490467060960181,0.15916890224887578,0.92,1.029300136308572,100
Logistic Regression,Logistic Regression,0.9,0.8407692307692308,0.43448201352405663,0.12418740801387926,0.81,0.6474698211016049,100
Logistic Regression,Logistic Regression,0.95,0.9123076923076923,0.5177172512400822,0.12418740801387926,0.85,0.719895714650183,100
