Learner g,Learner m,level,Tuned,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,Loss g_control,Loss g_treated,Loss m,repetition
LGBM Regr.,LGBM Clas.,0.9,False,0.905,37.557614215103456,9.702752376788483,0.93,44.43580521211171,10.231838281825558,13.632270699354638,0.7977017509425842,200
LGBM Regr.,LGBM Clas.,0.9,True,0.8625,4.281908161317747,1.1456270552515193,0.885,5.058837856166666,9.74905255354395,11.553230793169227,0.6041491925910187,200
LGBM Regr.,LGBM Clas.,0.95,False,0.9625,44.75265762296555,9.702752376788483,0.975,51.03212790722511,10.231838281825558,13.632270699354638,0.7977017509425842,200
LGBM Regr.,LGBM Clas.,0.95,True,0.945,5.102208271774997,1.1456270552515193,0.95,5.809070370902955,9.74905255354395,11.553230793169227,0.6041491925910187,200
