Learner g,Learner m,level,Coverage,CI Length,Bias,Coverage (Lower),Coverage (Upper),RV,RVa,Bias (Lower),Bias (Upper),repetition
LGBM Regr.,LGBM Clas.,0.9,0.724,0.3486418874446855,0.133013559519858,0.956,1.0,0.10333425285677338,0.02230408488718529,0.061737229173530965,0.2573546286059918,500
LGBM Regr.,LGBM Clas.,0.95,0.834,0.4154324322220136,0.133013559519858,0.984,1.0,0.10333425285677338,0.011131851516163303,0.061737229173530965,0.2573546286059918,500
LGBM Regr.,Logistic,0.9,0.748,0.3463856879037955,0.12877617075802633,0.968,1.0,0.09674954143748549,0.019916333263196275,0.06074802565145977,0.25765051820022555,500
LGBM Regr.,Logistic,0.95,0.852,0.41274400465033007,0.12877617075802633,0.988,1.0,0.09674954143748549,0.009890723264346906,0.06074802565145977,0.25765051820022555,500
Linear,LGBM Clas.,0.9,0.784,0.3494413277277734,0.12187636804754974,0.966,1.0,0.09697064801116353,0.018075330967724065,0.06121749294728737,0.2428802817821339,500
Linear,LGBM Clas.,0.95,0.878,0.4163850240739384,0.12187636804754974,0.988,1.0,0.09697064801116353,0.008509289290209597,0.06121749294728737,0.2428802817821339,500
Linear,Logistic,0.9,0.94,0.35018867844196144,0.07142052633672426,0.998,1.0,0.055876995720152325,0.004611363724170049,0.09892318834816895,0.17357653591018374,500
Linear,Logistic,0.95,0.97,0.4172755473762116,0.07142052633672426,1.0,1.0,0.055876995720152325,0.001736536891339805,0.09892318834816895,0.17357653591018374,500
