Learner g,Learner m,level,Coverage,CI Length,Bias,repetition
LGBM,LGBM,0.9,0.94,1.1717109524027203,0.2316649411393085,100
LGBM,LGBM,0.95,0.9733333333333333,1.3961797143352812,0.2316649411393085,100
LGBM,Logistic Regression,0.9,0.95,1.1257277173512354,0.22674365205458316,100
LGBM,Logistic Regression,0.95,0.9766666666666667,1.3413873102472733,0.22674365205458316,100
Logistic Regression,LGBM,0.9,0.95,1.1516977829036879,0.22071755626978704,100
Logistic Regression,LGBM,0.95,0.9811111111111112,1.3723325520152527,0.22071755626978704,100
Logistic Regression,Logistic Regression,0.9,0.9533333333333333,1.108700980433122,0.20598284359533878,100
Logistic Regression,Logistic Regression,0.95,0.9777777777777777,1.3210987018343832,0.20598284359533878,100
