Learner g,Learner m,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM,LGBM,0.9,0.9166666666666666,31.19723601176207,7.317671553221347,0.75,40.07178722497834,4
LGBM,LGBM,0.95,0.9166666666666666,37.17379953958276,7.317671553221347,1.0,45.030783711446645,4
LGBM,Logistic,0.9,0.9166666666666666,7.037701006756697,2.2296620831165868,0.75,8.739715482188682,4
LGBM,Logistic,0.95,0.9166666666666666,8.385937983289839,2.2296620831165868,0.75,9.870486807665765,4
Linear,LGBM,0.9,0.8333333333333333,8.377700536131655,1.9427089200474843,1.0,10.40497468964719,4
Linear,LGBM,0.95,1.0,9.982645905406377,1.9427089200474843,1.0,11.81920288957816,4
Linear,Logistic,0.9,0.75,5.332508990096552,1.6236147461678077,0.75,5.736730116984286,4
Linear,Logistic,0.95,0.8333333333333333,6.354076372859922,1.6236147461678077,0.75,6.661881932141393,4
