Learner g,Learner m,Learner pi,level,Coverage,CI Length,Bias,repetition
LGBM Regr.,LGBM Clas.,LGBM Clas.,0.9,0.894,1.5178763749801094,0.38450773557760864,1000
LGBM Regr.,LGBM Clas.,LGBM Clas.,0.95,0.953,1.8086612566608633,0.38450773557760864,1000
LGBM Regr.,LGBM Clas.,Logistic,0.9,0.927,2.0272591738127477,0.5256961421194926,1000
LGBM Regr.,LGBM Clas.,Logistic,0.95,0.967,2.4156282984070265,0.5256961421194926,1000
LGBM Regr.,Logistic,LGBM Clas.,0.9,0.817,1.1198920754331765,0.3135532959105554,1000
LGBM Regr.,Logistic,LGBM Clas.,0.95,0.897,1.3344337140131413,0.3135532959105554,1000
LassoCV,LGBM Clas.,LGBM Clas.,0.9,0.875,1.4741185507565766,0.38203646823601195,1000
LassoCV,LGBM Clas.,LGBM Clas.,0.95,0.947,1.7565205931302663,0.38203646823601195,1000
LassoCV,Logistic,Logistic,0.9,0.867,1.7433117258806798,0.47873193386127033,1000
LassoCV,Logistic,Logistic,0.95,0.92,2.077284045562859,0.47873193386127033,1000
LassoCV,RF Clas.,RF Clas.,0.9,0.771,0.6586361648599308,0.20438857392516385,1000
LassoCV,RF Clas.,RF Clas.,0.95,0.851,0.7848133966993618,0.20438857392516385,1000
RF Regr.,Logistic,RF Clas.,0.9,0.727,0.7431109071370045,0.2591017476304121,1000
RF Regr.,Logistic,RF Clas.,0.95,0.823,0.8854712605685171,0.2591017476304121,1000
RF Regr.,RF Clas.,Logistic,0.9,0.905,1.4934904960565314,0.39775667461813907,1000
RF Regr.,RF Clas.,Logistic,0.95,0.953,1.779603689690512,0.39775667461813907,1000
RF Regr.,RF Clas.,RF Clas.,0.9,0.757,0.64946265840171,0.21125350705787166,1000
RF Regr.,RF Clas.,RF Clas.,0.95,0.829,0.7738824895502671,0.21125350705787166,1000
