Learner g,Learner m,Score,Control Group,In-sample-norm.,DGP,level,Tuned,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,Loss g_control,Loss g_treated,Loss m,repetition
LGBM Regr.,LGBM Clas.,observational,never_treated,True,2,0.9,False,0.9366666666666668,2.97826761008284,0.6630614190615611,0.955,4.076327390258402,5.382034194123735,5.231751941184026,0.8576041329426337,200
LGBM Regr.,LGBM Clas.,observational,never_treated,True,2,0.9,True,0.9075,1.832594873095919,0.44252537334483505,0.895,2.4660898168275436,4.515059107298566,4.385233448105733,0.6919478275690014,200
LGBM Regr.,LGBM Clas.,observational,never_treated,True,3,0.9,False,0.9466666666666668,2.83754372010801,0.608791167628598,0.97,3.8789640516448474,4.642710293777947,4.646394978665751,0.8553041170789771,200
LGBM Regr.,LGBM Clas.,observational,never_treated,True,3,0.9,True,0.9225,1.7364545156585356,0.3998347112567276,0.91,2.3527693088573516,4.228587388499047,4.190294595950896,0.6911269926300146,200
LGBM Regr.,LGBM Clas.,observational,never_treated,True,4,0.9,False,0.925,2.81162753941394,0.6445514974670188,0.93,3.8526040538084434,4.612699034697736,4.644364135602212,0.8550565538841952,200
LGBM Regr.,LGBM Clas.,observational,never_treated,True,4,0.9,True,0.8891666666666667,1.7245938017850082,0.4367977362673907,0.845,2.342300467013995,4.181116753485783,4.208383450296873,0.6911607404321352,200
