Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,Loss g_control,Loss g_treated,Loss m,repetition
LGBM Regr.,LGBM Clas.,experimental,False,1,0.9,0.68,1.223035480707037,0.4955631873627174,0.584,1.5300332687694937,4.251414560174687,3.9023721235530875,,500
LGBM Regr.,LGBM Clas.,experimental,False,1,0.95,0.79,1.4573366618907944,0.4955631873627174,0.708,1.7434787133739384,4.251414560174687,3.9023721235530875,,500
LGBM Regr.,LGBM Clas.,experimental,False,4,0.9,0.6326666666666666,1.0617375977781927,0.48624725258553236,0.466,1.34759478845602,3.6041257872434316,3.656177733062923,,500
LGBM Regr.,LGBM Clas.,experimental,False,4,0.95,0.7266666666666667,1.265138379841215,0.48624725258553236,0.558,1.5268405776509006,3.6041257872434316,3.656177733062923,,500
LGBM Regr.,LGBM Clas.,experimental,False,6,0.9,0.888,1.0656886126304117,0.2659278668921121,0.88,1.3518375843488881,3.6653199008882806,3.6732792671089802,,500
LGBM Regr.,LGBM Clas.,experimental,False,6,0.95,0.942,1.2698463044162933,0.2659278668921121,0.944,1.5315781808137972,3.6653199008882806,3.6732792671089802,,500
LGBM Regr.,LGBM Clas.,experimental,True,1,0.9,0.686,1.224478229609375,0.49424735501910577,0.574,1.5342773807173786,4.254915661245208,3.9081580572672006,,500
LGBM Regr.,LGBM Clas.,experimental,True,1,0.95,0.778,1.4590558032423309,0.49424735501910577,0.684,1.7448800366815072,4.254915661245208,3.9081580572672006,,500
LGBM Regr.,LGBM Clas.,experimental,True,4,0.9,0.6286666666666666,1.061678182610802,0.4859723883784638,0.456,1.3482473754846722,3.604058108148232,3.6558496288293028,,500
LGBM Regr.,LGBM Clas.,experimental,True,4,0.95,0.728,1.265067582302569,0.4859723883784638,0.57,1.5294554623458922,3.604058108148232,3.6558496288293028,,500
LGBM Regr.,LGBM Clas.,experimental,True,6,0.9,0.8926666666666666,1.0655066376849363,0.2664044256834159,0.904,1.3515047707241956,3.6673476578091213,3.67282635262856,,500
LGBM Regr.,LGBM Clas.,experimental,True,6,0.95,0.944,1.2696294678945654,0.2664044256834159,0.942,1.5316853438806863,3.6673476578091213,3.67282635262856,,500
