Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,Loss g_d0_t0,Loss g_d1_t0,Loss g_d0_t1,Loss g_d1_t1,Loss m,repetition
LGBM Regr.,LGBM Clas.,experimental,False,1,0.9,0.8986666666666666,3.1143521025858485,0.7756342379078263,0.894,4.0026539074030145,6.529012705055243,5.971591086257874,10.328170306432364,9.338187819987848,,500
LGBM Regr.,LGBM Clas.,experimental,False,1,0.95,0.9486666666666667,3.7109794186111738,0.7756342379078263,0.95,4.516422710018734,6.529012705055243,5.971591086257874,10.328170306432364,9.338187819987848,,500
LGBM Regr.,LGBM Clas.,experimental,False,4,0.9,0.8673333333333334,2.6518599084650476,0.6910618778177917,0.87,3.4101072938087276,5.49672067934481,5.5627529789128,8.596569266811002,8.692269838482467,,500
LGBM Regr.,LGBM Clas.,experimental,False,4,0.95,0.9393333333333334,3.159885978590191,0.6910618778177917,0.934,3.8463346640543996,5.49672067934481,5.5627529789128,8.596569266811002,8.692269838482467,,500
LGBM Regr.,LGBM Clas.,experimental,False,6,0.9,0.9593333333333334,2.715378064864802,0.5341667940093989,0.966,3.4860667618900516,5.568585668370725,5.5708138758932755,8.717635002907942,8.745078576056867,,500
LGBM Regr.,LGBM Clas.,experimental,False,6,0.95,0.9833333333333334,3.235572530188483,0.5341667940093989,0.994,3.9418062204960087,5.568585668370725,5.5708138758932755,8.717635002907942,8.745078576056867,,500
LGBM Regr.,LGBM Clas.,experimental,True,1,0.9,0.896,3.117817590568382,0.7633116622668772,0.91,4.004047606026155,6.529908690098191,5.973881547103242,10.330575563495493,9.339187189951378,,500
LGBM Regr.,LGBM Clas.,experimental,True,1,0.95,0.9506666666666667,3.7151088022373693,0.7633116622668772,0.95,4.525836455097325,6.529908690098191,5.973881547103242,10.330575563495493,9.339187189951378,,500
LGBM Regr.,LGBM Clas.,experimental,True,4,0.9,0.88,2.6556749636180674,0.6994633089694186,0.888,3.406720349076596,5.496857322731734,5.563946426541767,8.598689315021057,8.692831647041208,,500
LGBM Regr.,LGBM Clas.,experimental,True,4,0.95,0.944,3.1644318971913563,0.6994633089694186,0.944,3.8522516407691674,5.496857322731734,5.563946426541767,8.598689315021057,8.692831647041208,,500
LGBM Regr.,LGBM Clas.,experimental,True,6,0.9,0.9533333333333334,2.7153400654764255,0.542891225253555,0.97,3.4903725341103025,5.5658080803951355,5.566873062122812,8.7223284024544,8.73466619111826,,500
LGBM Regr.,LGBM Clas.,experimental,True,6,0.95,0.98,3.235527251124479,0.542891225253555,0.994,3.9361949699158685,5.5658080803951355,5.566873062122812,8.7223284024544,8.73466619111826,,500
LGBM Regr.,LGBM Clas.,observational,False,1,0.9,0.9533333333333334,13.060460366432823,2.8342360320821194,0.966,16.74617642211609,6.539994802184515,5.973269082413658,10.326203789622623,9.333269582636964,0.6228342742079863,500
LGBM Regr.,LGBM Clas.,observational,False,1,0.95,0.9806666666666666,15.562498401249137,2.8342360320821194,0.984,18.918453538794807,6.539994802184515,5.973269082413658,10.326203789622623,9.333269582636964,0.6228342742079863,500
LGBM Regr.,LGBM Clas.,observational,False,4,0.9,0.9386666666666666,17.182071857840786,3.877964711478528,0.966,22.027794841171907,5.49820919055802,5.56231515347221,8.592032677818445,8.691991611947572,0.6201741214154282,500
LGBM Regr.,LGBM Clas.,observational,False,4,0.95,0.9833333333333334,20.47370140987062,3.877964711478528,0.992,24.89645014347663,5.49820919055802,5.56231515347221,8.592032677818445,8.691991611947572,0.6201741214154282,500
LGBM Regr.,LGBM Clas.,observational,False,6,0.9,0.942,11.74817043046119,2.6306427482658785,0.954,15.093738118492757,5.570412424931189,5.571249339496609,8.721906076545734,8.739139903977934,0.6422004668547441,500
LGBM Regr.,LGBM Clas.,observational,False,6,0.95,0.9746666666666667,13.998808496180972,2.6306427482658785,0.994,17.04385921221178,5.570412424931189,5.571249339496609,8.721906076545734,8.739139903977934,0.6422004668547441,500
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,0.9206666666666666,5.976707115672736,1.3573267999895784,0.936,7.665634424554531,6.533363534487095,5.971300642723277,10.333879162599889,9.338928235430592,0.6228870985183892,500
