Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,Loss g_d0_t0,Loss g_d1_t0,Loss g_d0_t1,Loss g_d1_t1,Loss m,repetition
Linear,Logistic,observational,False,1,0.9,0.946,0.5318246513144103,0.11053036819932345,0.974,0.6820315876532957,1.429784694426536,1.4329505976144656,1.4291241852600243,1.4329541248714088,0.6726411653413342,500
Linear,Logistic,observational,False,1,0.95,0.982,0.6337081583354583,0.11053036819932345,0.99,0.7716288079942707,1.429784694426536,1.4329505976144656,1.4291241852600243,1.4329541248714088,0.6726411653413342,500
Linear,Logistic,observational,False,4,0.9,0.898,4.832347718248565,1.1728724267919541,0.894,6.207647612766243,7.320918262983893,7.344987719740365,11.64578061747396,11.683490956761295,0.6727156283420664,500
Linear,Logistic,observational,False,4,0.95,0.9466666666666667,5.75809745824935,1.1728724267919541,0.948,7.010956131791942,7.320918262983893,7.344987719740365,11.64578061747396,11.683490956761295,0.6727156283420664,500
Linear,Logistic,observational,False,6,0.9,0.966,4.262361569345671,0.8061934190056945,0.982,5.477989321115957,7.551175726994974,7.5537324174863825,12.022003691902198,12.043921588667528,0.6939549766503083,500
Linear,Logistic,observational,False,6,0.95,0.99,5.0789170708693145,0.8061934190056945,0.996,6.177659785906757,7.551175726994974,7.5537324174863825,12.022003691902198,12.043921588667528,0.6939549766503083,500
Linear,Logistic,observational,True,1,0.9,0.95,0.5294238729213322,0.10997396783564568,0.968,0.6784763190223384,1.429604920909707,1.4329244697458479,1.4294178559782575,1.4329066396637211,0.6726299128735583,500
Linear,Logistic,observational,True,1,0.95,0.98,0.630847454435613,0.10997396783564568,0.986,0.7668156336585215,1.429604920909707,1.4329244697458479,1.4294178559782575,1.4329066396637211,0.6726299128735583,500
Linear,Logistic,observational,True,4,0.9,0.8946666666666666,4.817495254522949,1.15017802387419,0.904,6.187018913049883,7.323380222410015,7.344796263558695,11.642358468389633,11.684277895003406,0.6726867966907344,500
Linear,Logistic,observational,True,4,0.95,0.9533333333333334,5.740399656142881,1.15017802387419,0.952,6.984976906123499,7.323380222410015,7.344796263558695,11.642358468389633,11.684277895003406,0.6726867966907344,500
Linear,Logistic,observational,True,6,0.9,0.9693333333333334,4.240954640807382,0.79925330830394,0.976,5.449619864334082,7.545350590491914,7.557135124700455,12.030935164798441,12.038482179518887,0.6939598068809577,500
Linear,Logistic,observational,True,6,0.95,0.9866666666666666,5.053409142220106,0.79925330830394,0.996,6.142269320274921,7.545350590491914,7.557135124700455,12.030935164798441,12.038482179518887,0.6939598068809577,500
