Learner g,Learner m,Score,In-sample-norm.,DGP,level,Tuned,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,False,0.9,1.1113763663388696,0.2783388170117924,0.92,1.3788558172615877,100
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,True,0.8833333333333333,0.6148427992241794,0.15024436835827917,0.91,0.7634587423773123,100
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,False,0.96,1.3242866207677713,0.2783388170117924,0.97,1.5683457246716077,100
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,True,0.95,0.732630382964001,0.15024436835827917,0.99,0.8733603074599771,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.9,False,0.93,1.2340740537756638,0.2827466455736652,0.94,1.5228025759168033,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.9,True,0.93,0.6909121668851053,0.14601582394245094,0.91,0.8519331823086561,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.95,False,0.97,1.470489932978703,0.2827466455736652,0.97,1.7440031028399017,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.95,True,0.9533333333333333,0.8232726252275122,0.14601582394245094,0.97,0.9758565772068002,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.9,False,0.9433333333333332,1.2959603630389032,0.2926620156379758,0.96,1.6022423636178649,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.9,True,0.8933333333333333,0.7034275560361475,0.16697163725248976,0.88,0.8670910640659377,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.95,False,0.98,1.5442320187817185,0.2926620156379758,0.98,1.834795211566282,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.95,True,0.9533333333333333,0.8381856312157769,0.16697163725248976,0.96,0.9914556000230386,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,False,0.9366666666666668,1.4986674065988734,0.3275028156163638,0.95,1.8415020458286135,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,True,0.67,0.7464049203833408,0.300651425058323,0.58,0.9150101228510614,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,False,0.9833333333333333,1.785772359077211,0.3275028156163638,0.96,2.1067443351244504,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,True,0.7733333333333333,0.8893963194440494,0.300651425058323,0.67,1.046760454668414,100
