Learner g,Learner m,level,Coverage,CI Length,Bias,repetition
LGBM,LGBM,0.9,0.9130769230769231,0.2504140311507047,0.058664382828615344,100
LGBM,LGBM,0.95,0.9623076923076923,0.29838672222069546,0.058664382828615344,100
LGBM,Logistic Regression,0.9,0.9138461538461539,0.2295468678504439,0.05404131251984585,100
LGBM,Logistic Regression,0.95,0.9653846153846153,0.2735219635224835,0.05404131251984585,100
Lasso,LGBM,0.9,0.9184615384615386,0.25413656839893195,0.05937580125391575,100
Lasso,LGBM,0.95,0.9607692307692308,0.30282239893872454,0.05937580125391575,100
Lasso,Logistic Regression,0.9,0.8984615384615385,0.23106148992822828,0.056975097319886495,100
Lasso,Logistic Regression,0.95,0.9546153846153846,0.27532674704486204,0.056975097319886495,100
