Learner g,Learner m,Score,Approach,DGP,level,Tuned,Coverage,CI Length,Bias,Loss g,Loss m,repetition
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.9,False,0.84,0.07214938085352593,0.020958634872141193,1.8380925400044046,1.0425563302438159,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.9,True,0.84,0.07214938085352593,0.020958634872141193,1.8406447982984568,1.0536808246925673,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.95,False,0.87,0.08597128988423149,0.020958634872141193,1.8380925400044046,1.0425563302438159,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.95,True,0.87,0.08597128988423149,0.020958634872141193,1.8406447982984568,1.0536808246925673,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp2,0.9,False,0.56,0.07019217379642241,0.03223609623930599,1.8417454099789756,1.0114586592127623,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp2,0.9,True,0.56,0.07019217379642241,0.03223609623930599,1.845874406802228,1.0235401498732124,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp2,0.95,False,0.64,0.08363913383134296,0.03223609623930599,1.8417454099789756,1.0114586592127623,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp2,0.95,True,0.64,0.08363913383134296,0.03223609623930599,1.845874406802228,1.0235401498732124,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.9,False,0.0,0.14506683792132763,0.24426316655751223,2.2357614775306525,1.2646810617814317,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.9,True,0.0,0.14506683792132763,0.24426316655751223,2.2163775352398476,1.2616692581843845,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.95,False,0.0,0.17285779902730514,0.24426316655751223,2.2357614775306525,1.2646810617814317,100
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.95,True,0.0,0.17285779902730514,0.24426316655751223,2.2163775352398476,1.2616692581843845,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.9,False,0.37,0.10564657766155527,0.0639652478345845,1.8351842533954925,1.075452347488812,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.9,True,0.37,0.10564657766155527,0.0639652478345845,1.84118987710939,1.0701310013996495,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.95,False,0.48,0.12588566174750032,0.0639652478345845,1.8351842533954925,1.075452347488812,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.95,True,0.48,0.12588566174750032,0.0639652478345845,1.84118987710939,1.0701310013996495,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp2,0.9,False,0.9,0.09978560477366961,0.025742513859099113,1.8385051319239296,1.0355345852928854,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp2,0.9,True,0.9,0.09978560477366961,0.025742513859099113,1.8419745101738403,1.020917516314259,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp2,0.95,False,0.94,0.11890188180112794,0.025742513859099113,1.8385051319239296,1.0355345852928854,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp2,0.95,True,0.94,0.11890188180112794,0.025742513859099113,1.8419745101738403,1.020917516314259,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp3,0.9,False,0.21,0.14736942212785784,0.11116202396744745,2.2330986160573976,1.4764474809056063,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp3,0.9,True,0.21,0.14736942212785784,0.11116202396744745,2.234545448937938,1.4524951630618492,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp3,0.95,False,0.35,0.17560149733712627,0.11116202396744745,2.2330986160573976,1.4764474809056063,100
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp3,0.95,True,0.35,0.17560149733712627,0.11116202396744745,2.234545448937938,1.4524951630618492,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp1,0.9,False,0.75,0.08338178511761866,0.027758914202157547,1.7857580223977323,1.5617592387653514,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp1,0.9,True,0.75,0.08338178511761866,0.027758914202157547,1.7755675591454931,1.5446407468542838,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp1,0.95,False,0.88,0.09935552508710367,0.027758914202157547,1.7857580223977323,1.5617592387653514,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp1,0.95,True,0.88,0.09935552508710367,0.027758914202157547,1.7755675591454931,1.5446407468542838,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp2,0.9,False,0.75,0.08172180822747643,0.0288237206890361,1.6839348474894564,1.5107731514052591,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp2,0.9,True,0.75,0.08172180822747643,0.0288237206890361,1.6339834968196845,1.4811015397253107,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp2,0.95,False,0.81,0.0973775406229921,0.0288237206890361,1.6839348474894564,1.5107731514052591,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp2,0.95,True,0.81,0.0973775406229921,0.0288237206890361,1.6339834968196845,1.4811015397253107,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp3,0.9,False,0.0,0.13951582228199874,0.3374665458880539,2.6600546733155745,2.0403787961336346,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp3,0.9,True,0.0,0.13951582228199874,0.3374665458880539,2.6731472910158462,2.0516197504849605,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp3,0.95,False,0.0,0.16624335592280381,0.3374665458880539,2.6600546733155745,2.0403787961336346,100
LGBM Regr.,LGBM Regr.,partialling out,fd_exact,dgp3,0.95,True,0.0,0.16624335592280381,0.3374665458880539,2.6731472910158462,2.0516197504849605,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp1,0.9,False,0.87,0.06986442022400832,0.017559392666425425,1.154335223709233,1.0265129772476522,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp1,0.9,True,0.87,0.06986442022400832,0.017559392666425425,1.1343289505288514,1.0057938448034482,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp1,0.95,False,0.95,0.08324859136166037,0.017559392666425425,1.154335223709233,1.0265129772476522,100
LGBM Regr.,LGBM Regr.,partialling out,wg_approx,dgp1,0.95,True,0.95,0.08324859136166037,0.017559392666425425,1.1343289505288514,1.0057938448034482,100
